Date,Activity,Distance,Type,Duration
9/7/2023,Running,3.5,,30
9/8/2023,Lifting,,Legs,30
9/10/2023,Lifting,,Chest,31
9/11/2023,Lifting,,Back,32
9/12/2023,Lifting,,Chest,33
9/20/2023,Running,3.2,,29
9/21/2023,Lifting,,Chest,30
9/24/2023,Lifting,,Back,33
9/29/2023,Running,4,,44
10/2/2023,Lifting,,Back,17
10/3/2023,Running,3.3,,28
10/4/2023,Lifting,,Chest,33
10/5/2023,Outdoor,,Pickleball,45
10/7/2023,Lifting,,"Legs, Chest, Back",20
10/9/2023,Lifting,,Chest,30
10/11/2023,Running,4.2,,38
10/12/2023,Lifting,,Chest,52
10/12/2023,Outdoor,,Pickleball,60
10/13/2023,Outdoor,2.5,Hiking,54
10/14/2023,Running,2,,14
10/15/2023,Basketball,,Basketball,90
10/16/2023,Lifting,,Chest,34
10/17/2023,Outdoor,,Pickleball,60
10/18/2023,Lifting,,Back,28
10/23/2023,Basketball,,Basketball,90
10/24/2023,Lifting,,Chest,30
10/25/2023,Lifting,,Back,30
10/29/2023,Outdoor,,Pickleball,90
10/30/2023,Lifting,,Chest,34
10/31/2023,Outdoor,,Pickleball,54
11/1/2023,Lifting,,Chest,80
11/5/2023,Running,4.2,,36
11/7/2023,Running,13.1,,150
11/8/2023,Lifting,,Back,70
11/12/2023,Running,2.2,,17
11/14/2023,Running,2.1,,15
11/16/2023,Lifting,,Legs,60
11/20/2023,Lifting,,Chest,40
11/23/2023,Running,4.6,,43
11/24/2023,Golf,,Golf,60
11/27/2023,Running,5.2,,42
11/28/2023,Running,1.2,,9
11/29/2023,Lifting,,Chest,80
12/4/2023,Running,4,,33
12/4/2023,Basketball,,Basketball,90
12/7/2023,Lifting,,Back ,30
12/8/2023,Basketball,,Basketball,60
12/9/2023,Basketball,,Basketball,90
12/9/2023,Lifting,,Back,30
12/9/2023,Running,7.35,,87
12/10/2023,Basketball,,Basketball,40
12/12/2023,Outdoor,,Pickleball,64
12/15/2023,Running,1.4,,10
12/16/2023,Basketball,,Basketball,100
12/17/2023,Basketball,,Basketball,40
12/19/2023,Running,3,,24
12/20/2023,Outdoor,4.4,Hiking,120
12/25/2023,Running,3.1,,37
12/26/2023,Biking,9.6,Peleton,33
12/27/2023,Golf,,Golf,100
12/30/2023,Running,3.2,,28
1/1/2024,Lifting,,Chest/Back,30
1/2/2024,Running,4.2,,32
1/3/2024,Lifting,,Chest /Tri,100
1/4/2024,Basketball,,Basketball,140
1/7/2024,Basketball,,Basketball,50
1/7/2024,Lifting,,Chest/Tri,38
